start_time,end_time,pod,SampleCount,threadCount1,threadCount2,threadCount3,threadCount4
1497249907273,1497249967273,na44,25458,17532,1310,52,6564
1497249967273,1497250027273,na44,21904,15779,1258,67,4800
1497250027274,1497250087274,na44,22756,15943,1280,52,5481
1497250087274,1497250147274,na44,21883,15784,1129,68,4902
1497250147275,1497250207275,na44,22851,16135,1100,91,5525
1497250207275,1497250267275,na44,22747,16614,1026,74,5033
1497250267276,1497250327276,na44,24424,17194,1147,60,6023
1497250327276,1497250387276,na44,23060,16630,1097,60,5273
1497250387277,1497250447277,na44,23553,16369,1145,98,5941
1497250447277,1497250507277,na44,22415,16088,1123,43,5161
1497250507278,1497250567278,na44,24238,17129,1163,106,5840
1497250567278,1497250627278,na44,21297,15499,1118,36,4644
1497250627279,1497250687279,na44,23232,16372,1235,45,5580
1497250687280,1497250747280,na44,22476,16065,1210,39,5162
1497250747280,1497250807280,na44,25918,17995,1256,62,6605
1497250807281,1497250867281,na44,30855,23401,1304,47,6103
1497250867330,1497250927330,na44,28714,21629,1254,59,5772
1497250927330,1497250987330,na44,28561,20636,1405,51,6469
1497250987331,1497251047331,na44,28222,19223,1430,45,7524
1497251047331,1497251107331,na44,25940,19057,1264,40,5579
1497251107332,1497251167332,na44,27915,19663,1395,37,6820
1497251167335,1497251227335,na44,24397,17726,1201,39,5431
1497251227335,1497251287335,na44,26381,18490,1290,48,6553
1497251287336,1497251347336,na44,25526,18573,1272,76,5605
1497251347336,1497251407336,na44,25163,18145,1151,35,5832
1497251407379,1497251467379,na44,24983,17677,1304,41,5961
1497251467379,1497251527379,na44,24221,17149,1141,40,5891
1497251527380,1497251587380,na44,25418,17424,1474,45,6475
1497251587381,1497251647381,na44,27877,19692,1174,37,6974
1497251647381,1497251707381,na44,25920,18664,1239,59,5958
1497251707382,1497251767382,na44,28742,20029,1191,40,7482
1497251767382,1497251827382,na44,26074,18513,1225,42,6294
1497251827439,1497251887439,na44,25702,18686,1080,49,5887
1497251887440,1497251947440,na44,25652,18302,1351,52,5947
1497251947440,1497252007440,na44,27719,19679,1410,102,6528
1497252007441,1497252067441,na44,25800,18838,1431,35,5496
1497252067441,1497252127441,na44,25995,18511,1318,48,6118
1497252127442,1497252187442,na44,27788,19716,1537,49,6486
1497252187442,1497252247442,na44,27648,19570,1422,63,6593
1497252247443,1497252307443,na44,26420,19032,1439,36,5913
1497252307443,1497252367443,na44,29856,20686,1464,49,7657
1497252367444,1497252427444,na44,26451,19353,1416,36,5646
1497252563603,1497252623603,na44,26383,19158,1434,45,5746
1497252623602,1497252683602,na44,27747,19805,1487,35,6420
1497252683602,1497252743602,na44,29276,20377,1726,44,7129
1497252743603,1497252803603,na44,29459,20409,1621,86,7343
1497252803603,1497252863603,na44,27976,20111,1592,40,6233
1497252863604,1497252923604,na44,27862,19627,1655,37,6543
1497252923604,1497252983604,na44,30148,22060,1571,36,6481
1497252983605,1497253043605,na44,30104,21442,1614,47,7001
1497253043605,1497253103605,na44,29717,21598,1560,43,6516
1497253103606,1497253163606,na44,27661,19916,1378,34,6333
1497253163606,1497253223606,na44,28148,20714,1417,42,5975
1497253223607,1497253283607,na44,29076,20895,1461,41,6679
1497253283607,1497253343607,na44,26807,19441,1517,39,5810
1497253343608,1497253403608,na44,28291,20010,1662,40,6579
1497253403608,1497253463608,na44,26860,19968,1465,40,5387
1497253463609,1497253523609,na44,21741,15458,1263,48,4972
1497253523609,1497253583609,na44,29856,21126,1508,111,7111
1497253583610,1497253643610,na44,28504,20002,1530,38,6934
1497253643610,1497253703610,na44,27732,19614,1524,44,6550
1497253703611,1497253763611,na44,27889,19928,1462,38,6461
1497253763611,1497253823611,na44,28677,20143,1603,84,6847
1497253823612,1497253883612,na44,28412,19861,1569,42,6940
1497253883612,1497253943612,na44,24976,17961,1476,37,5502
1497253943613,1497254003613,na44,26057,18494,1403,75,6085
1497254003613,1497254063613,na44,26326,18710,1558,62,5996
1497254063614,1497254123614,na44,24854,17725,1593,30,5506
1497254123614,1497254183614,na44,28627,20196,1933,39,6459
1497254183615,1497254243615,na44,29402,21076,1785,7,6534
1497254243615,1497254303615,na44,25918,19247,1541,41,5089
1497254303616,1497254363616,na44,29845,20906,1395,47,7497
1497254363616,1497254423616,na44,30064,22460,1329,21,6254
1497254423617,1497254483617,na44,34042,25050,1600,11,7381
1497254483617,1497254543617,na44,31706,23015,1618,5,7068
1497254543618,1497254603618,na44,32345,23078,1477,39,7751
1497254603618,1497254663618,na44,28918,21226,1444,18,6230
1497254663619,1497254723619,na44,31217,22892,1427,5,6893
1497254723620,1497254783620,na44,29901,21707,1306,9,6879
1497254783620,1497254843620,na44,30033,21354,1089,40,7550
1497254843620,1497254903620,na44,30466,21819,1263,10,7374
1497254903621,1497254963621,na44,30422,21578,1319,14,7511
1497254963621,1497255023621,na44,30232,21682,1420,33,7097
1497255023622,1497255083622,na44,31178,22627,1107,11,7433
1497255083623,1497255143623,na44,29454,21151,1022,17,7264
1497255143623,1497255203623,na44,31964,22788,1184,33,7959
1497255203623,1497255263623,na44,31054,22425,1136,21,7472
1497255263624,1497255323624,na44,33547,23854,1153,7,8533
1497255323625,1497255383625,na44,35725,26812,1398,12,7503
1497255383625,1497255443625,na44,35520,25944,1473,7,8096
1497255443626,1497255503626,na44,31053,22440,1334,18,7261
1497255503626,1497255563626,na44,29714,21287,1104,66,7257
1497255563627,1497255623627,na44,28837,20708,1190,11,6928
1497255623627,1497255683627,na44,30308,21534,1153,29,7592
1497255683627,1497255743627,na44,35102,24339,2312,3,8448
1497255743628,1497255803628,na44,29626,20860,1102,10,7654
1497255803628,1497255863628,na44,28373,19969,1218,5,7181
1497255863629,1497255923629,na44,30005,20739,1189,7,8070
1497255923629,1497255983629,na44,31017,18906,2592,9,9510
1497255983630,1497256043630,na44,33880,19977,3703,7,10193
1497256043630,1497256103630,na44,27299,19132,1264,6,6897
1497256103631,1497256163631,na44,30395,20673,1307,8,8407
1497274952215,1497275012215,na44,58408,48458,1612,55,8283
1497275012214,1497275072214,na44,57651,48245,1596,43,7767
1497275072215,1497275132215,na44,57177,47371,1646,45,8115
1497275132215,1497275192215,na44,57554,48265,1821,42,7426
1497275192216,1497275252216,na44,58839,48562,1933,37,8307
1497275252216,1497275312216,na44,55790,46270,1903,56,7561
1497275312217,1497275372217,na44,56624,46268,1791,39,8526
1497275372217,1497275432217,na44,57366,47513,1880,36,7937
1497275432218,1497275492218,na44,60831,49647,1843,46,9295
1497275492218,1497275552218,na44,57434,47040,1781,40,8573
1497275552219,1497275612219,na44,57564,47525,1793,33,8213
1497275612219,1497275672219,na44,57747,48162,1815,45,7725
1497275672220,1497275732220,na44,59406,49130,1974,46,8256
1497275732220,1497275792220,na44,57047,48057,1850,43,7097
1497275792220,1497275852220,na44,56976,47252,1765,38,7921
1497275852221,1497275912221,na44,49292,41105,1574,98,6515
1497275912222,1497275972222,na44,51527,42644,1449,109,7325
1497275972222,1497276032222,na44,55862,45994,1446,87,8335
1497276032223,1497276092223,na44,59514,49650,1454,46,8364
1497276092223,1497276152223,na44,55246,46294,1527,68,7357
1497276152224,1497276212224,na44,57331,47474,1604,41,8212
1497276212224,1497276272224,na44,58257,49096,1460,36,7665
1497276272225,1497276332225,na44,59790,49979,1352,44,8415
1497276332226,1497276392226,na44,59056,49668,1318,45,8025
1497276392226,1497276452226,na44,59819,49766,1329,45,8679
1497276452227,1497276512227,na44,55939,47026,1402,45,7466
1497276512227,1497276572227,na44,56876,46728,1312,41,8795
1497276572227,1497276632227,na44,58090,48557,1387,53,8093
1497276632228,1497276692228,na44,58556,49128,1255,50,8123
1497276692228,1497276752228,na44,56691,47909,1311,49,7422
1497276752229,1497276812229,na44,60307,49892,1648,40,8727
1497276812229,1497276872229,na44,57547,48417,1651,36,7443
1497276872230,1497276932230,na44,59725,49850,1484,39,8352
1497276932230,1497276992230,na44,61753,52005,1653,42,8053
1497276992231,1497277052231,na44,62498,51541,1470,68,9419
1497277052231,1497277112231,na44,60309,51173,1472,54,7610
1497277112232,1497277172232,na44,62867,52479,1527,46,8815
1497277172232,1497277232232,na44,58926,49476,1528,49,7873
1497277232233,1497277292233,na44,60674,49871,1710,53,9040
1497277292233,1497277352233,na44,57613,47753,1727,46,8087
1497277352234,1497277412234,na44,61402,50671,1672,53,9006
1497277412234,1497277472234,na44,57116,47476,1838,42,7760
1497277472234,1497277532234,na44,58676,48481,1720,42,8433
1497277532235,1497277592235,na44,56892,46783,1535,45,8529
1497277592235,1497277652235,na44,58900,48169,1722,126,8883
1497277652236,1497277712236,na44,57904,48049,1833,44,7978
1497277712236,1497277772236,na44,58828,48291,1777,55,8705
1497277772237,1497277832237,na44,57188,47497,1816,56,7819
1497277832237,1497277892237,na44,60074,49419,1768,47,8840
1497277892238,1497277952238,na44,57615,48000,1675,47,7893
1497277952238,1497278012238,na44,59224,48346,1946,64,8868
1497278012239,1497278072239,na44,57252,47516,1902,56,7778
1497278072239,1497278132239,na44,58945,48453,1765,53,8674
1497278132239,1497278192239,na44,55727,46450,1489,58,7730
1497278192240,1497278252240,na44,57403,47525,1670,57,8151
1497278252240,1497278312240,na44,58883,48547,1902,48,8386
1497278312241,1497278372241,na44,58849,48848,1825,43,8133
1497278372241,1497278432241,na44,58550,48878,1760,43,7869
1497278432242,1497278492242,na44,58619,48620,1909,92,7998
1497278492243,1497278552243,na44,58313,48299,2056,67,7891
1497590098549,1497590158549,na44,22842,15344,984,28,6486
1497590158548,1497590218548,na44,22317,15863,774,36,5644
1497590218549,1497590278549,na44,22128,15707,948,6,5467
1497590278550,1497590338550,na44,21937,15892,918,14,5113
1497590338551,1497590398551,na44,22625,15171,810,154,6490
1497590398552,1497590458552,na44,14790,10798,553,28,3411
1497590458552,1497590518552,na44,14149,10183,588,8,3370
1497590518553,1497590578553,na44,14599,10611,638,14,3336
1497590578590,1497590638590,na44,15231,11130,690,10,3401
1497590803849,1497590863849,na44,16280,11408,875,7,3990
1497590863800,1497590923800,na44,24017,16866,1544,104,5503
1497590923801,1497590983801,na44,31662,17024,1609,122,12907
1497590983802,1497591043802,na44,62008,19658,3981,107,38262
1497591043802,1497591103802,na44,69068,18867,4179,15,46007
1497591103803,1497591163803,na44,68648,17286,3986,20,47356
1497591163803,1497591223803,na44,68329,17503,3960,18,46848
1497591223804,1497591283804,na44,67946,17127,4142,6,46671
1497591283805,1497591343805,na44,63136,14278,1590,3,47265
1497591343805,1497591403805,na44,55283,15781,1505,207,37790
1497591403806,1497591463806,na44,43452,21639,2042,492,19279
1497591463807,1497591523807,na44,36086,23182,2292,718,9894
1497591523808,1497591583808,na44,36794,22066,1980,872,11876
1497591583808,1497591643808,na44,34014,20249,1941,1358,10466
1497591643809,1497591703809,na44,33798,19426,1856,1609,10907
1497591703881,1497591763881,na44,32748,18626,1806,1637,10679
1497591763882,1497591823882,na44,31485,19156,1541,1351,9437
1497591823882,1497591883882,na44,27429,17455,991,826,8157
1497591883883,1497591943883,na44,26260,16460,688,410,8702
1497591943883,1497592003883,na44,23239,14793,552,321,7573
1497592003884,1497592063884,na44,25180,15659,616,361,8544
1497592063884,1497592123884,na44,23725,15367,533,331,7494
1497592123885,1497592183885,na44,24818,15247,686,292,8593
1497592183885,1497592243885,na44,25057,16087,721,314,7935
1497592243886,1497592303886,na44,24263,14874,704,300,8385
1497592303887,1497592363887,na44,23437,14633,646,354,7804
1497592363887,1497592423887,na44,26203,16065,691,1068,8379
1497592423888,1497592483888,na44,27818,20663,968,314,5873
1497592483888,1497592543888,na44,25336,17555,954,273,6554
1497592543889,1497592603889,na44,23109,16440,785,343,5541
1497592603889,1497592663889,na44,24902,16756,993,434,6719
1497592663890,1497592723890,na44,24112,16839,1046,502,5725
1497592723891,1497592783891,na44,25792,17517,1023,552,6700
1497592783891,1497592843891,na44,34932,24634,1003,654,8641
1497592843892,1497592903892,na44,31760,22501,944,333,7982
1497592903892,1497592963892,na44,25089,18962,936,232,4959
1497592963893,1497593023893,na44,24569,18415,949,180,5025
1497593023893,1497593083893,na44,22375,16628,732,178,4837
1497593083894,1497593143894,na44,23392,17249,957,159,5027
1497593143894,1497593203894,na44,22789,16523,898,156,5212
1497593203895,1497593263895,na44,21596,15947,960,105,4584
1497593263895,1497593323895,na44,22090,15776,1037,69,5208
1497593323896,1497593383896,na44,32010,22847,1722,182,7259
1497593383896,1497593443896,na44,36929,23728,1850,137,11214
1497593443897,1497593503897,na44,68127,25034,3878,163,39052
1497593503897,1497593563897,na44,73840,24530,4355,96,44859
1497593563898,1497593623898,na44,70935,23418,4060,78,43379
1497593623898,1497593683898,na44,66651,20431,2084,57,44079
1497593683899,1497593743899,na44,66965,20103,2033,55,44774
1497593743899,1497593803899,na44,67461,19490,1844,98,46029
1497593803899,1497593863899,na44,58356,18334,1484,145,38393
1497593863900,1497593923900,na44,39836,21920,2162,619,15135
1497593923900,1497593983900,na44,35252,23419,2408,821,8604
1497593983901,1497594043901,na44,37233,24468,2413,1141,9211
1497594043901,1497594103901,na44,35866,23867,2352,1894,7753
1497594103902,1497594163902,na44,36454,23562,2113,2137,8642
1497594163902,1497594223902,na44,37203,25251,2285,2153,7514
1497594223903,1497594283903,na44,36390,24794,2073,2002,7521
1497594283903,1497594343903,na44,32362,22362,1747,1541,6712
1497594343903,1497594403903,na44,33796,22884,1288,1079,8545
1497594403904,1497594463904,na44,30570,20948,1162,922,7538
1497594463904,1497594523904,na44,31797,21842,1187,915,7853
1497594523905,1497594583905,na44,31663,21844,1212,901,7706
1497594583906,1497594643906,na44,33325,23211,1193,898,8023
1497594643907,1497594703907,na44,31062,21086,1330,897,7749
1497594703907,1497594763907,na44,30822,21040,1414,949,7419
1497594763907,1497594823907,na44,31856,22011,1545,935,7365
1497594823908,1497594883908,na44,31183,21638,1428,913,7204
1497594883908,1497594943908,na44,31012,21760,1339,935,6978
1497594943909,1497595003909,na44,31174,20015,1285,738,9136
1497595003909,1497595063909,na44,29307,19654,1365,255,8033
1497595063910,1497595123910,na44,30214,20428,1296,276,8214
1497595123910,1497595183910,na44,27708,18625,1134,370,7579
1497595183910,1497595243910,na44,29191,19555,1241,471,7924
1497595243911,1497595303911,na44,27404,17986,1496,223,7699
1497595303911,1497595363911,na44,28885,18805,1513,376,8191
1497595363912,1497595423912,na44,25736,17637,1127,361,6611
1497595423912,1497595483912,na44,30687,20699,1301,248,8439
1497595483913,1497595543913,na44,29273,20509,1349,198,7217
1497595543913,1497595603913,na44,30398,20112,1555,170,8561
1497595603913,1497595663913,na44,28306,19893,1316,187,6910
1497595663914,1497595723914,na44,29275,19915,1526,145,7689
1497595723914,1497595783914,na44,29260,21143,1383,161,6573
1497595783915,1497595843915,na44,32232,21727,1326,215,8964
1497595843915,1497595903915,na44,28692,20197,1234,205,7056
1497595903916,1497595963916,na44,29275,20273,1189,231,7582
1497595963916,1497596023916,na44,29001,20251,1337,205,7208
1497596023916,1497596083916,na44,30090,20812,1181,195,7902
1497596083917,1497596143917,na44,28025,19612,1201,156,7056
1497596143918,1497596203918,na44,28643,19761,1140,158,7584
1497596203918,1497596263918,na44,27386,19178,1142,162,6904
1497596263918,1497596323918,na44,29303,20163,1046,169,7925
1497596323919,1497596383919,na44,27519,19483,1040,179,6817
1497596383919,1497596443919,na44,41534,29334,1077,139,10984
1497596443920,1497596503920,na44,33064,25144,1015,72,6833
1497596503920,1497596563920,na44,34000,24141,1328,108,8423
1497596563920,1497596623920,na44,32718,22404,1490,55,8769
1497596623921,1497596683921,na44,31708,21974,1304,106,8324
1497596683921,1497596743921,na44,30024,21203,1396,90,7335
1497596743922,1497596803922,na44,34513,22863,1511,114,10025
1497596803928,1497596863928,na44,30606,21302,1303,110,7891
1497596863928,1497596923928,na44,29526,19837,1408,104,8177
1497596923929,1497596983929,na44,28212,19705,1320,92,7095
1497596983929,1497597043929,na44,29790,20536,1388,109,7757
1497597043929,1497597103929,na44,29353,20009,1563,184,7597
1497597103930,1497597163930,na44,29719,19877,1439,123,8280
1497597163930,1497597223930,na44,29203,20045,1367,117,7674
1497597223931,1497597283931,na44,31262,20930,1351,137,8844
1497597283931,1497597343931,na44,30182,20935,1579,115,7553
1497597343931,1497597403931,na44,32958,21929,1774,124,9131
1497597403932,1497597463932,na44,29828,20704,1611,110,7403
1497597463932,1497597523932,na44,31099,21345,1491,97,8166
1497597523933,1497597583933,na44,30461,21546,1466,112,7337
1497597583933,1497597643933,na44,31544,21555,1507,98,8384
1497597643934,1497597703934,na44,29078,20590,1502,100,6886
1497597703934,1497597763934,na44,31319,21619,1469,113,8118
1497597763934,1497597823934,na44,30876,21598,1897,98,7283
1497597823935,1497597883935,na44,32407,21958,2204,110,8135
1497597883935,1497597943935,na44,31632,22027,2225,112,7268
1497597943936,1497598003936,na44,31833,21636,2133,105,7959
1497598003936,1497598063936,na44,30513,21545,2086,104,6778
1497598063936,1497598123936,na44,31516,22108,1985,113,7310
1497598123937,1497598183937,na44,30971,21282,1946,102,7641
1497598183937,1497598243937,na44,35442,23884,1855,94,9609
1497598243938,1497598303938,na44,33630,23225,2236,104,8065
1497598303938,1497598363938,na44,33816,22963,2017,103,8733
1497598363938,1497598423938,na44,32130,22590,2048,105,7387
1497598423940,1497598483940,na44,34205,23417,1915,100,8773
1497598483940,1497598543940,na44,29859,21295,1672,98,6794
1497598543941,1497598603941,na44,31158,21025,1536,159,8438
1497598603941,1497598663941,na44,30661,21010,1653,146,7852
1497598663941,1497598723941,na44,31320,21439,1735,133,8013
1497598723942,1497598783942,na44,30750,21038,1856,104,7752
1497598783942,1497598843942,na44,33098,22805,1890,131,8272
1497598843943,1497598903943,na44,30129,20909,1751,110,7359
1497598903943,1497598963943,na44,33701,22891,2025,175,8610
1497598963943,1497599023943,na44,30648,21486,1743,100,7319
1497599023944,1497599083944,na44,33359,22569,1663,89,9038
1497599083944,1497599143944,na44,32103,22597,1607,107,7792
1497599143945,1497599203945,na44,30788,21806,1417,95,7470
1497599203945,1497599263945,na44,30085,21148,1559,103,7275
1497599263945,1497599323945,na44,32158,22052,1569,116,8421
1497599323946,1497599383946,na44,29326,20494,1488,101,7243
1497599383946,1497599443946,na44,32262,22781,1633,97,7751
1497599443947,1497599503947,na44,30538,21368,1784,110,7276
1497599503947,1497599563947,na44,31590,21884,1587,107,8012
1497599564016,1497599624016,na44,29762,21288,1515,127,6832
1497599624016,1497599684016,na44,31070,21783,1378,104,7805
1497599684017,1497599744017,na44,30361,22079,1467,132,6683
1497599744017,1497599804017,na44,29047,20400,1380,149,7118
1497599804017,1497599864017,na44,29562,20508,1479,110,7465
1497599864018,1497599924018,na44,30495,21092,1450,99,7854
1497599924018,1497599984018,na44,29783,21230,1488,101,6964
1497599984019,1497600044019,na44,38414,27047,1431,116,9820
1497600044019,1497600104019,na44,35404,26115,1427,96,7766
1497600104019,1497600164019,na44,35298,24832,1430,105,8931
1497600164020,1497600224020,na44,32242,23570,1486,133,7053
1497600224020,1497600284020,na44,33607,23769,1438,109,8291
1497600284021,1497600344021,na44,31179,22542,1584,95,6958
1497600344021,1497600404021,na44,32292,22201,1594,141,8356
1497600404021,1497600464021,na44,30294,21871,1477,108,6838
1497600464022,1497600524022,na44,31528,22389,1479,127,7533
1497600524022,1497600584022,na44,32436,22768,1628,111,7929
1497600584023,1497600644023,na44,35960,26312,1756,103,7789
1497600644023,1497600704023,na44,35539,25774,1769,103,7893
1497600704023,1497600764023,na44,35792,26067,1559,96,8070
1497600764024,1497600824024,na44,35077,25668,1633,120,7656
1497600824024,1497600884024,na44,35226,24549,1751,96,8830
1497600884025,1497600944025,na44,36738,26206,1828,111,8593
1497600944025,1497601004025,na44,38095,26930,1845,103,9217
1497601004025,1497601064025,na44,35485,26012,1617,101,7755
1497601064026,1497601124026,na44,37935,27049,1640,58,9188
1497601124026,1497601184026,na44,35405,26553,1511,54,7287
1497601184027,1497601244027,na44,39220,28315,1626,58,9221
1497601244027,1497601304027,na44,34532,25239,1556,68,7669
1497601304027,1497601364027,na44,37184,26342,1624,70,9148
1497601364028,1497601424028,na44,33358,24038,1561,53,7706
1497601424028,1497601484028,na44,31995,21796,1705,57,8437
1497601484029,1497601544029,na44,31112,21948,1761,55,7348
1497601544029,1497601604029,na44,32341,22495,1672,125,8049
1497601604029,1497601664029,na44,29053,20668,1497,69,6819
1497601664030,1497601724030,na44,31361,21358,1603,73,8327
1497601724030,1497601784030,na44,28862,20745,1490,50,6577
1497601784030,1497601844030,na44,33097,22731,1599,59,8708
1497601844031,1497601904031,na44,29493,21112,1324,69,6988
1497601904031,1497601964031,na44,31631,21440,1512,122,8557
1497601964032,1497602024032,na44,31024,21111,1761,55,8097
1497602024032,1497602084032,na44,31589,21872,1484,91,8142
1497602084032,1497602144032,na44,30006,20691,1664,90,7561
1497602144033,1497602204033,na44,31324,21413,1640,52,8219
1497602204033,1497602264033,na44,30439,21069,1759,50,7561
1497602264034,1497602324034,na44,31675,21285,1801,68,8521
1497602324034,1497602384034,na44,30523,21666,1808,62,6987
1497602384034,1497602444034,na44,31597,21642,1739,77,8139
1497602444035,1497602504035,na44,30801,21559,1716,53,7473
1497602504035,1497602564035,na44,30564,21271,1537,62,7694
1497602564036,1497602624036,na44,30682,21519,1611,60,7492
1497602624036,1497602684036,na44,31610,21906,1620,54,8030
1497602684036,1497602744036,na44,30711,21625,1688,61,7337
1497602744037,1497602804037,na44,32002,22154,1619,62,8167
1497602804037,1497602864037,na44,31331,21717,1863,80,7671
1497602864038,1497602924038,na44,32479,21784,2101,41,8553
1497602924038,1497602984038,na44,30588,21396,1965,49,7178
1497602984105,1497603044105,na44,32639,22092,2073,80,8394
1497603044106,1497603104106,na44,30200,20576,2008,48,7568
1497603104106,1497603164106,na44,31757,20969,2033,42,8713
1497603164107,1497603224107,na44,30397,20858,2173,51,7315
1497603224107,1497603284107,na44,32425,21816,2137,81,8391
1497603284107,1497603344107,na44,31101,21756,1898,64,7383
1497603344108,1497603404108,na44,30841,21089,1628,43,8081
1497603404108,1497603464108,na44,29627,20705,1687,53,7182
1497603464109,1497603524109,na44,30598,20842,1603,59,8094
1497603524109,1497603584109,na44,29536,20496,1767,50,7223
1497603584109,1497603644109,na44,33642,23568,1450,120,8504
1497603644110,1497603704110,na44,31984,23574,1459,59,6892
1497603704110,1497603764110,na44,34775,23652,1787,77,9259
1497603764111,1497603824111,na44,32208,22419,1718,76,7995
1497603824111,1497603884111,na44,32939,22403,1769,44,8723
1497603884112,1497603944112,na44,31070,21493,1751,72,7754
1497603944112,1497604004112,na44,33040,22377,1536,49,9078
1497604004112,1497604064112,na44,30778,21868,1469,50,7391
1497604064113,1497604124113,na44,31193,21828,1519,47,7799
1497604124113,1497604184113,na44,31018,22278,1546,58,7136
1497604184114,1497604244114,na44,33009,23149,1621,57,8182
1497604244114,1497604304114,na44,30477,21336,1656,71,7414
1497604304114,1497604364114,na44,29828,20845,1499,58,7426
1497604364115,1497604424115,na44,28850,19863,1685,48,7254
1497604424115,1497604484115,na44,29368,20003,1599,48,7718
1497604484116,1497604544116,na44,30064,21766,1542,52,6704
1497604544116,1497604604116,na44,31468,21602,1620,50,8196
1497604604116,1497604664116,na44,31531,21770,1741,51,7969
1497604664117,1497604724117,na44,30342,20759,1627,51,7905
1497604724117,1497604784117,na44,31083,21225,1676,53,8129
